Price,Close,High,Low,Open,Volume
Ticker,INFY,INFY,INFY,INFY,INFY
Date,,,,,
2023-07-09,16.072952270507812,16.223871858100086,15.073107753829747,15.1297039485044,46344100
2023-07-16,15.374946594238281,17.110523612862163,14.459996389494432,16.082382820337035,113907600
2023-07-23,15.52586555480957,15.82770651039906,15.25232449390768,15.374945976566469,48967400
2023-07-30,15.761679649353027,15.922031946762822,15.497571252986438,15.676788949880565,43110000
2023-08-06,15.733383178710938,16.035222370774846,15.620192582135223,15.922031774199132,35726800
2023-08-13,15.771112442016602,16.327629136358723,15.657923642650745,15.846572241295014,39112200
2023-08-20,16.271034240722656,16.355926737211227,15.789977360321918,15.950329653788831,26498700
2023-08-27,16.525711059570312,16.591738154359028,16.271033580439486,16.28046627956693,29724700
2023-09-03,16.742658615112305,16.931309009290178,16.48798112270322,16.80868571334351,22513200
2023-09-10,16.742658615112305,17.14825570322229,16.695496916119584,16.827551112582,35863000
2023-09-17,16.77095603942871,17.08222791793015,16.68606354537346,16.742657941709155,22953300
2023-09-24,16.138980865478516,16.676632171144227,15.771112762309688,16.563441570376074,48838900
2023-10-01,16.7803897857666,16.846416885462244,16.016357291593646,16.063520790735918,29169800
2023-10-08,15.940896987915039,16.978470547884214,15.290055113163838,16.58230616313611,75625900
2023-10-15,16.006925582885742,16.41252270510544,15.969196580339347,16.006925582885742,31541200
2023-10-22,15.507002830505371,16.044654083175054,15.34665054470008,15.808842003996885,31418400
2023-10-29,15.938551902770996,16.10099524748996,15.546777098901337,15.766552852766868,34103200
2023-11-05,15.890772819519043,16.120106093198135,15.61366466621705,16.053216158545855,22597500
2023-11-12,16.73165512084961,16.741210824938317,15.690107068514795,15.718774180780924,31594900
2023-11-19,16.69343376159668,16.894099919846525,16.521436540679556,16.636101354624305,17933700
2023-11-26,16.941877365112305,16.960988775796274,16.50232585476767,16.56921396959712,26887800
2023-12-03,17.094764709472656,17.13298753017879,16.616990386032374,17.04698800615439,25417100
2023-12-10,17.840091705322266,18.1363112488902,16.52143549317773,17.018319359708514,45354900
2023-12-17,17.926090240478516,18.10764496743488,17.37187217837964,17.859202136485155,31119000
2023-12-24,17.56298065185547,17.849646295782144,17.505648252095785,17.811423480899602,14377700
2023-12-31,17.29543113708496,17.50565118648474,16.76987827973886,17.42920736646987,38559200
2024-01-07,18.7287540435791,19.168305551011976,17.180764417156507,17.295431057936277,66327000
2024-01-14,19.101415634155273,19.139638451663178,18.356087095829384,18.528086129486457,42495900
2024-01-21,19.32119369506836,19.46452745542848,18.73831023835746,19.044085525005368,38271100
2024-01-28,19.445415496826172,19.57919172532663,18.948529758732434,19.254305036770297,32657000
2024-02-04,19.206527709960938,19.818078246197395,19.158749185214738,19.416747751151128,29674300
2024-02-11,19.56007957458496,19.665190505894362,18.929417631857262,19.196971901297395,29522500
2024-02-18,19.216083526611328,19.49319168149264,18.805197324227382,19.37852686656395,24597100
2024-02-25,18.948528289794922,19.196971139581876,18.881640180730024,19.044083512415177,24650400
2024-03-03,18.403865814208984,18.929416802604134,18.36564299629298,18.76697347158966,42838300
2024-03-10,18.375200271606445,19.02497365121129,18.317867862395556,18.356088861014673,48904000
2024-03-17,16.932321548461914,18.375200239456525,16.903656255188835,18.33697924090428,63496000
2024-03-24,17.132986068725586,17.190318472329903,16.808099410694055,16.999209852794102,36049600
2024-03-31,17.037431716918945,17.21898646392042,16.6169898163866,17.094764123448336,54843700
2024-04-07,16.932321548461914,17.457874403429564,16.75076861585101,16.95143295902025,64784400
2024-04-14,16.06277084350586,16.922764186217368,15.32699983469607,16.903654600094544,89326900
2024-04-21,16.186994552612305,16.616990349217254,16.081883618467707,16.292103664192503,58964400
2024-04-28,16.17743682861328,16.33032444689087,15.890771177419673,16.196548236539023,38493800
2024-05-05,16.120105743408203,16.42588100492616,16.043661928028712,16.24432625993825,40441100
2024-05-12,16.368545532226562,16.521434973928095,16.1105488140349,16.186992623603572,38077900
2024-05-19,16.58832359313965,16.741211217011184,16.244325528146575,16.39721315201811,40861700
2024-05-26,16.00543975830078,16.61699030614361,15.699664484379369,16.540546487663256,45676800
2024-06-02,17.558095932006836,17.714081086602402,16.144478376558606,16.446701240641016,43465500
2024-06-09,17.343616485595703,17.46060441961396,17.158383420662158,17.26562205026395,31740300
2024-06-16,17.606840133666992,18.016301618612253,17.285120528316405,17.324117745687225,57344500
2024-06-23,18.152790069580078,18.269778003033238,17.509348997629004,17.538596910737134,41654900
2024-06-30,18.94246482849121,19.07895136852072,18.240529800934542,18.406264253608793,33557900
2024-07-07,19.888124465942383,19.946618430102472,18.679238669526136,19.117948049450803,65309100
2024-07-14,21.13600730895996,22.04267211388792,19.66389589637117,19.66389589637117,91788000
2024-07-21,22.218156814575195,22.36439265980333,20.92152723761401,21.136008212805624,53694600
2024-07-28,21.2237491607666,22.149910712907705,20.941024927504124,22.062168837722076,55574900
2024-08-04,20.76554298400879,20.89228208563359,19.868627405893037,20.024614421621187,49823500
2024-08-11,21.457727432250977,21.516221397397914,20.677799839170117,20.775291020741427,36768900
2024-08-18,21.779447555541992,22.013425281267505,21.49672330810929,21.535720525475043,27411000
2024-08-25,22.695859909057617,22.890840401951888,21.750197917332596,21.750197917332596,32450600
2024-09-01,21.974430084228516,22.744606537942595,21.925683562164533,22.598370690730018,25138600
2024-09-08,22.617868423461914,22.744605656939786,21.993925981638878,22.18890834336288,27576700
2024-09-15,22.27665138244629,22.83234872501601,21.828192670879158,22.617869603521118,52273900
2024-09-22,21.82819175720215,22.67636262211487,21.7794470960131,22.149911355722914,41697000
2024-09-29,22.218156814575195,22.30589683412035,21.525971086577197,21.720953453207816,42294300
2024-10-06,22.354642868041992,22.79335039415963,21.886687429720663,22.159660505663293,32272900
2024-10-13,21.94518280029297,22.86159698698852,21.467478027305322,22.695862526197725,59377800
2024-10-20,21.34073829650879,21.8086956104949,21.3212415471887,21.438229481067964,34450100
2024-10-27,20.239091873168945,21.662456771030325,20.239091873168945,21.652707467135297,39063800
2024-11-03,21.44719696044922,21.693716465741737,20.362510761003218,20.470979945186187,59359300
2024-11-10,21.230260848999023,21.861350191874166,21.072488513280238,21.575386657887243,29192400
2024-11-17,22.472719192504883,22.492439323688735,20.97388013644636,21.033044291587082,33462200
2024-11-24,21.762741088867188,22.877010278517535,21.693715930016985,22.167032917099398,33907300
2024-12-01,22.541744232177734,22.768541726323974,21.703577535556224,21.8021857141225,30612500
2024-12-08,23.0742244720459,23.301021957197403,22.64034963203839,22.689654659763388,29280700
2024-12-15,22.41355323791504,23.29116396619465,22.12759158636823,23.024922445903265,41358800
2024-12-22,22.167034149169922,22.52202284960969,21.989539798950037,22.413553662076513,13454400
2024-12-29,22.314945220947266,22.502300575197435,21.585247696934807,21.910653374951103,17502000
2025-01-05,22.38397216796875,22.86715017987996,22.21633882662857,22.265641976107318,23621700
2025-01-12,20.894994735717773,22.65021248869582,20.816108565705218,22.206478487673184,71150500
2025-01-19,21.378171920776367,21.54580526055494,20.63861340071701,20.806246740495578,45680300
2025-01-26,21.644412994384766,21.762741301916503,20.934435626016207,20.934435626016207,49211900
2025-02-02,21.52608299255371,22.08814716018534,21.27956348879987,21.27956348879987,49665300
2025-02-09,21.269702911376953,21.683855761257217,21.200677749862674,21.49650040800804,40676700
2025-02-16,20.875272750854492,21.171095418597417,20.70763940425493,21.171095418597417,46749100
2025-02-23,19.82016944885254,20.678056310694274,19.42573859968423,20.37237263768817,58549900
2025-03-02,19.58350944519043,19.908915106026168,19.23838177320234,19.790584919906582,63389400
2025-03-09,18.143835067749023,19.514484785114973,18.00578474774746,19.475040761803353,65853400
2025-03-16,18.06494903564453,18.43965973670047,17.650796191779555,18.331190552585134,70879400
2025-03-23,17.917037963867188,18.755204669433926,17.857873808413828,18.370632957000606,40628400
2025-03-30,16.34917449951172,18.173419324601625,16.27028832830325,17.749405449058088,71425700
2025-04-06,16.644996643066406,17.522607385801077,15.925160118535924,16.181540637025126,98070700
2025-04-13,15.915298461914062,16.930959488174903,15.599753799990765,16.930959488174903,78927000
2025-04-20,17.157756805419922,17.305668129102216,16.161817800793855,16.625275664004764,61382600
2025-04-27,17.631074905395508,17.7691271128936,16.91123837216374,17.11831574301356,39095200
2025-05-04,17.246503829956055,17.739542825257697,17.167617665939574,17.591631502826104,39547600
2025-05-11,18.05508804321289,18.65659623805457,17.85787356743146,18.597432083399596,54490600
2025-05-18,17.857873916625977,18.13397456427779,17.562049375977402,17.848012910524897,42754600
2025-05-25,17.93675994873047,18.33119078581197,17.828290763235085,18.03536812819949,36805400
2025-06-01,18.200000762939453,18.260000228881836,17.81999969482422,18.06999969482422,43253500
2025-06-08,18.420000076293945,18.93000030517578,18.219999313354492,18.229999542236328,52298200
2025-06-15,17.68000030517578,18.860000610351562,17.68000030517578,18.729999542236328,67976000
2025-06-22,18.520000457763672,18.670000076293945,17.829999923706055,17.860000610351562,62712800
2025-06-29,18.959999084472656,18.979999542236328,18.459999084472656,18.549999237060547,41448800
2025-07-06,18.190000534057617,19.059999465942383,18.059999465942383,18.860000610351562,76584100
2025-07-13,18.209999084472656,18.520000457763672,17.899999618530273,18.010000228881836,67458900
2025-07-20,17.3700008392334,18.829999923706055,17.25,18.190000534057617,88843000
2025-07-27,16.40999984741211,17.34000015258789,16.3700008392334,17.31999969482422,82562500
2025-08-03,15.989999771118164,16.68000030517578,15.960000038146973,16.549999237060547,91364800
2025-08-10,16.559999465942383,16.65999984741211,15.90999984741211,15.989999771118164,93849600
2025-08-17,17.010000228881836,17.190000534057617,16.260000228881836,16.360000610351562,74845741
